"","X","AlertCategory","NetworkEventType","NetworkInteractionType","DataTransferVolume_IN","DataTransferVolume_OUT","TransactionsPerSession","NetworkAccessFrequency","UserActivityLevel","SessionIntegrityCheck","ResourceUtilizationFlag","SecurityRiskLevel","ResponseTime","Classification"
"234888",244649,"Alert","PolicyViolation","Elevated",134241943,202483848,44439,27383,6,FALSE,FALSE,176939602,35.37844,"Normal"
"463893",483197,"Informational","NormalOperation","Suspicious",121561187,149777618,32891,NA,5,TRUE,FALSE,123463800,26.19877,"Normal"
"57066",59417,"Alert","PolicyViolation","Suspicious",124413079,154547146,34760,29793,6,FALSE,FALSE,172763053,33.50055,"Normal"
"228997",238525,"Warning","PolicyViolation","Anomalous",132079068,137821995,30332,33134,5,FALSE,FALSE,103376294,22.7388,"Normal"
"231886",241540,"Warning","Policy_Violation","Anomalous",140337266,143576952,32917,28415,6,FALSE,FALSE,168267722,40.2512,"Normal"
"357966",372940,"Warning","Policy_Violation","Suspicious",130041689,193746537,42886,38921,6,FALSE,FALSE,90469285,27.81236,"Normal"
"487865",508187,"Warning","PolicyViolation","Suspicious",123346203,168068148,37020,49108,5,TRUE,FALSE,141319646,29.25099,"Normal"
"151164",157400,"Warning","PolicyViolation","Suspicious",125501791,163431428,36618,41113,6,TRUE,FALSE,119515367,22.72647,"Normal"
"99326",103356,"Warning","PolicyViolation","Anomalous",142085773,111845712,27728,38629,5,FALSE,FALSE,94197632,24.29136,"Normal"
"336838",350883,"Warning","PolicyViolation","Critical",136057566,77844110,21868,28000,7,FALSE,FALSE,186102182,31.14158,"Normal"
"3927",4088,"Warning","Policy_Violation","Suspicious",128182645,170746061,38673,45060,6,FALSE,FALSE,119955121,22.32247,"Normal"
"362974",378158,"Warning","PolicyViolation","Anomalous",139692895,148264728,33211,35824,5,TRUE,FALSE,168506363,19.627,"Normal"
"508606",529826,"Warning","PolicyViolation","Suspicious",122490791,175904569,38098,45999,6,FALSE,FALSE,178588777,14.85058,"Normal"
"89484",93141,"Warning","NormalOperation","Critical",122822068,93721585,23797,43708,7,FALSE,FALSE,125453384,25.45774,"Normal"
"266871",277959,"Warning","PolicyViolation","Suspicious",121818940,151627738,34883,41041,6,FALSE,FALSE,140948111,25.80428,"Normal"
"294207",306414,"Warning","PolicyViolation","Elevated",122632373,198107246,42050,37684,5,TRUE,TRUE,117377880,NA,"Normal"
"525896",547804,"Warning","PolicyViolation","Anomalous",131564106,155629085,34513,35074,6,FALSE,FALSE,165160667,NA,"Normal"
